Author
Mark P. O. Morford
Robert J. Lenardon
Richard Bruce Wright
Carlo D'Este
Katherine Ayres
Sook Nyul Choi
Fred Graver
Peggy Woodford
John Gollings
Madeleine Bourdouxhe
Jennifer Bassett
Andrew Parkin
P.D. James
Gaetan Soucy
David Levien
Regina McBride
Abbie Zabar
Larry Watson
Paula L. Woods
Tom Alibrandi
Bill Wassmuth
Brenda Peterson
Steven Owen Godersky
B. Traven
Jean P. Sasson
Suzy Spencer
Rita Moonsammy
Yatri
Lisle
Robert H Waterman
Thomas J Peters
Tom Peters
Lyndell
Sir Richard Branson
J.-P. Mayer
Ann Martin
Cameron Judd
Berniece Rabe
Harvey Kidder
Joan Rawlins Biggar
Kay Salem
Ken Leebow
Paul Joffe
Marty Bucella
Betty Baker
Thom Jones
Dudley Randall
Floyd
Wallace Fowlie
Pearson Education
Susan Feuer
Bernadine Healy
Peter Mcdonough
Alex Chadwick/ NPR
Judith Ivey
Debra Monk
Dale Hull
Dave Longaberger
Tami Longaberger
Ellis Vidler
Violet Winspear
Darryl London
Joyce Landorf Heatherley
Richard Dean Rosen
Peter Abrahams
Colin Harrison
Maria Shriver
Oriah
Richie Tankersley Cusick
Nicholas Adams
Keith Parkinson
Sarton May
Lori Foster
Janelle Dennison
Jill Jones
Shana Abe
Emma Holly
Gary Brandner
Linda Ladd
Patricia Phillips
Julie Beard
Laurie McBain
Andrea Parnell
Catherine Lanigan
Jill Barnett
Stephen Bury
Marlena De Blasi
Aliza Sherman
Gregg Olsen
Daphne Gottlieb
Daniel Drennan
Peg Kerr
John F. Kennedy
Gordan Korman
Rosalind Greenberg
Elaine St. James
Laurie Abkemeier
Richard Eyre
Linda Eyre
Jonathan Berent
Ken Merrell
Phyllis Gates
Patricia Briggs
Holly Lisle
L.J. Smith
L. J. Smith
Larry Dixon
Larry Elmore
Ru Emerson
Ellen Guon
David Trotter
Charlotte Mitchell
Debra Ginsberg
Josepha Sherman
Ian J. Burton
Purple Ronnie
Teresa Crane
Fran�ois Ricard
Fran�ois K�rel
Jack Clifford Smith
Douglas R. Hofstadter
Nick Meglin
Diane Meglin
Lauren Jarrett
Lisa Lenard
Nan Phifer
Cathy Ann Johnson
BERNARD POULIN
Lin Wellford
Michael Meyer
Alwyn Crawshaw
Juliet Bawden
James Van Praagh
Maurizio Bongianni
Stevie Daniels
D.G. Hessayon
D.G.
Dr. Hessayon
Lois Hole
Derek Fell
Debbie Patterson
Andy Baggott
Adrian Forsyth
Laurel Aziz
Barbara Ganim
Susan Fox
Judy Jones
William Wilson
Terence Dickinson
C. W. Metcalf
Roma Felible
W. L. Wilmshurst
Derek Nelson
Alec Waugh
Gertrud Wittich
Friedrich D�rrenmatt
Bj�rn Larsson
J�rg Scherzer
Urs Widmer
Joan Druett
Joyce Johnson
Thomas Nils Lindquist
Tommy Simpson
Lisa Hammel
William Bennett Seitz
Mary Francis Shura
Harry Mazer
Pike
Ellen Conford
Cherie Bennett
Janet Kovalcik
Carol Keeffe
Ellen Gunderson Traylor
John F. Walvoord
Alpha Staff
Shelley O'Hara
James P. Caher
John M. Caher
Patricia Waynant
David Galloway
Kurt Cobain
William H. Armstrong
James Barkley
Edward P. Jones
Edmund White
Deborah Ford
Olivia Judson
Catherine Clinton
Cortney Davis
Howard Stern
Kirk Mitchell
John Stossel
Starbuck O'Dwyer
Lori Alvord
Elizabeth Cohen Van Pelt
Terry Jones
Sanyika Shakur
Monster Kody Scott
A. J. Orde
Sheri S Tepper
Aaron Elkins
Aaron J. Elkins
Andrew Tobias
Jane Bicks
Milli Nickell
Gary Land
Montague Summers
Kelsey Grammer
Rose Block
Delilah Ahrendt
Michael Kerrigan
Matt Cohen
Patricia Jeffery
Jeff Davidson Jeffrey P.
Davidson
Margaret Wander Bonanno
Elena Poniatowska
Walter Jon Williams
John Peel
David R. Olson
John McCormick
Bronwyn Williams
Dominique Lapierre
Sara Dowse
Beth Yahp
Douglas Rushkoff
Arturo Perez- Reverte
David Wharry
Lyndon Baines Johnson
Michael Jordan
Susan Beth Pfeffer
Lynn Gamwell
Nancy Tomes
Marie B. Salazar
Brenda Wilkinson
Pauline Brown
Lee Stringer
J. Dennis Deitz
Richard Grimes
Susan Quinn
Leo Pennanen
Eric Knight
Josefa Heifetz
Torey L. Hayden
Robin Williams
Karen A. Signell
Keith Laumer
Austin Tappan Wright
Sherman Alexie
Flavia
Colin Higgins
Erik Weihenmayer
Tyrone T. Thomas
Karle Dickerson
Susan Kenney
Annette L�vy-Willard
Georgeson V
Ursula Markham
Chogyam Trungpa
Gene Wolfe
Robert Llewellyn
Jacques Lacarri�re
Jack Jones
Rachel Kaberry
Amy K. Brown
David Farland
Kevin Brooks
Deborah McDowell
Roderick MacLeish
Rainer Maria Rilke
M.D. Herter Norton
Daniel Handler
Lance Gould
H Roberts Design
Catullus
David Mulroy
Pat Croce
Bill Lyon
Richard Price
Tony Britton
Ann Powers
Gwynedd M. Hudson
David Ambrose
Edward Hoagland
Phil Parks
Phyllis Raybin Emert
Jael
Ursula Burkowski
Christopher Davis
Ron Nyswaner
Annie Smith
Ann Ripley
Avery Thorne
Meek
Sydney Biddle Barrows
William Novak
Holger Freese
Helga Kr�ger
Brigitte Wolters
Mary Mapes Dodge
Children's Classics
Jeannie Sakol
Rexanne Becnel
Colleen L. Reece
Elizabeth Coatsworth
Michael Viner
Stefan Rudnicki
Roger Rees
Laurie Gwen Shapiro
Vera Neville
Marina Zwetajewa
Heinz G. Konsalik
Eva-Christiane Wetterer
Joanne Horniman
Sa Shan
Werner Richter
Betsy Schmitt
Aeron Clement
Fabienne Marsh
Donna Huston Murray
Johanna Hurwitz
Terri Fields
Steinunn Sigurdard�ttir
Coletta B�rling
No�lle Ch�telet
Daniel Mason
Bertolt Brecht
Harry Mulisch
Maria Csoll�ny
Sophokles
Russell Munson
Jeannie Ebner
Robert Schneider
R. Spill
Janice Carlisle
Raymond R. MacCurdy
Elia Kazan
Brian Johnston
Margaret Craven
Sinclair Lewis
Frank Kermode
Deborah Levy
D.H. Lawrence
Robin Morgan
Edmund Rostand
Mary Clearman Blew
Pauline Rosenau
Carolyn McVickar Edwards
Jonn Mumford
Thomas Erskine
Jennifer Lash
Mel Blanc
Philip Bashe
George Dangerfield
Sam Shepard
Ludwig Thoma
Ursula Segebrecht
Dave Bowler
Bryan Dray
Giovanni Bandini
Verity Campbell
Virginia Trioli
Phil Kuntz
Nancy Snow
Simon Colvey
Robert M. Eversz
Marianne Wood
Ken Catran
Helen Hodgman
Rene Delorm
Janice Harrell
Joan Elizabeth Lloyd
Susan M. Love
Susan M. Love M.D.
Karen Lindsey
Ann Copeland
Evelyn Rogers
Sonya Birmingham
Katherine Sutcliffe
Kathryn Atwood
Laura Kinsale
Yuri Rubinsky
Ian Wiseman
Marci Shimoff
Car
Mj Rose
Josephine Hart
Elizabeth Dewberry Vaughn
Laura Reese
Barry Gifford
Peter Lawrence
Richard Rosen
Betty Mahmoody
Arnold D. Dunchock
Hans Pfitzinger
Petra Hrabak
Rita Seu�
Grace Gershuny
Deborah L. Martin
Diana Wells
Jacob Ludwig Carl Grimm
Jacob W. Grimm
Wilhelm Gri
Candace Bahouth
Clay Perry
Ippy Patterson
Sara B. Stein
Andrew Stoker
Sasha Williamson
William Warriner
Maryjo Koch
Rene Bergh
Mary Kidd
Alan Watts
Nancy Toder
Sylvia Brownrigg
Charlotte J. Beck
Steve Smith
Alan W. Watts
John Goldstein
Manuela Soares
Celina Spiegel
Christina Buchmann
Monica Furlong
Mark Garland
Elizabeth Lesser
Anya Weinstein
Michael Newton
Jeremy Tambling
Hablot K. Browne
Han Nolan
Michael Kilian
Judith Viorst
Lynn Solotaroff
Ronald Blythe
Harold N.
M.D. Levinson
Martha Manning
Ian Irvine
Leon Garfield
Baz Luhrmann
Craig Pearce
William Sh
Joanna Russ
Dwight Yoakam
Harold Bloomfield M.D.
Sharon Janis
Joy Sikorski
Wu Wei
Ram Dass
Karen Casey
Harpersanfrancisco
Dave Marsh
Steve Hagen
John Bradshaw
Stephen Fender
Gail McMeekin
Marc Gafni
Jon Kabat-Zinn
Michael Toms
Keith Jarrett
Julia
Jeffrey E. Young
Janet S. Klosko
Aaron T. Beck
John Chaffee
Thomas Ayres
Patricia Lynn Reilly
Mark Nepo
John A. Tracy CPA
Christine Westermann
Petru Popescu
Crawford Kilian
Jack Gaver
David Copperfield
William M Thackeray
Harald Hellmann
Norman F. Cantor
Peter Israel
Lesley Hazleton
Keith Haviland
Dina Gray
Ben Salama
Jennifer Niederst
Phillip Giroux
Bob Beckstrom
Lance Walheim
The Edi
Roland E. Larson
Bruce H. Edwards
Robert P. Hostet
Berlitz Guides
Isaac Adamson
Helen Prejean
L.M. Boyd
Brian Freemantle
Mark Arax
Rick Wartzman
Armin A. Brott
Jennifer Ash
Mick Jackson
Pierre Boulle
Timothy Egan
Julie Hecht
John Feinstein
Walter Mercado
PAUL (ED) ATTERBURY
Herman J. Viola
Jan S. Danis
Carolyn J. Margolis
Kenneth Copeland
Gloria Copeland
James F. Dunnigan
Clay Reynolds
Heather MacDonald
Lauren Steinhauer
Laura Miller
Adam Begley
Daniel J. Boorstin
James C. Collins
Jerry I. Porras
Shunryu Suzuki
Trudy Dixon
Richard Baker
Huston Sm
Alice Joyce Davidson
Victoria Marshall
John Weisman
Bill Barnes
Clair Alan Brown
Eric A. Kimmel
Jon Goodell
Kristoffer J. Buquet
Dorit Bader Whiteman
Corey Sandler
Richard Ellis
Jane Fonda
Louise Bates Ames
Frances L. Ilg
Charlotte Bront�1/2
Margaret Smith
Moya Costello
Ellen Kushner
Faith Conlon
Ingrid Emerick
Christina Henry De Tes
Darryl Reanney
Louise Fitzhugh
Richard Shenkman
Dion Fortune
Kenneth W. Royce
Boston T. Party
Robert Shea
Robert Anton Wilson
Monica McInerney
Ben Jeapes
Hana Wirth-Nesher
Clifford A. Pickover
Joann Morse
Kerstin Ekman
Marilyn Pappano
Mary Balogh
Hailey North
Karen Anders
Kristin Hardy
Karen Ranney
Candace Camp
Michele Albert
John Roger
PC LEARNING LAB
Kristen Britain
Charles J. Keating
Jane Resh Thomas
Lauren Brooke
Judy Tatchell
L. Moeri
Nicholas Edwards
Janni Lee Simner
Mike Jahn
Gorman
Claire Rudolf Murphy
Mary Jane Auch
Judy Richter
Pam Ryan
Mary Stanton
D. Craig
David Burn
Cecilia Fitzsimons
Judy Alter
Lange Lewis
Francesca Stanfill
Joyce E. Strom-Paikin RN
H. E. Bates
William McGivern
Robert Goddard
Bruce Nicolaysen
C. Peterson
Pricilla Hamilton
Sanders
James Martin
Louis W. Storms IV
Scott J. Peterson (MCSD MCT)
Gary J. Nutt
Wout J Hofman
Janell Cannon
Patricia Polacco
Renee Graef
David Kirk
Robert Nisbet
Sarah Dessen
Brian Gallagher
Thomas H. Cook
Algernon B. Mitford
Linda Piazza
Cynthia Blair
Nicholas Pine
Robert Browning
Rick Beech
Rui Nunes
Rhidian Brook
Steven Millhauser
Eca De Quieros
Lucy Ellmann
Jeremy Narby
Doris R. Meredith
Jay Winik
Johanna Ellsworth
Caroline MacDonald
Tristine Rainer
Ana�s Nin
Darien Cooper
Ken J. Roberts
Joyce Rupp
Jane Pitz
Mark E. Thibodeaux
Claire Cloninger
Evelyn Christenson
Loretta LaRoche
Lyn Holley Doucet
Macrina Wiederkehr
Paula D'Arcy
Brian Harper
Steve  Pieczenik
Charles Mackay
Janine M. Benyus
Cindy Stone
Frances Moore Lappe
Anna Lapp�
Eva Hoffman
Declan Kiberd
Desmond Bagley
Lynsay Sands
Robert Kaplow
Kaori Yuki
Nina Olligschl�ger
Kazushi Hagiwara
Robert Gernhardt
Philipp Rippel
Fatima Igramhan-Parsons
Jacques Vallee
Kristen Stagg
Jesse Lee Kercheval
Ruth Brown
Peter Barrett
Christina Hoff-Sommers
Cal Thomas
Laura C. Schlessinger
Ted Andrews
Bevarly
Suzi Golden
Liz Fielding
Amy Wallace
Laura Scribner Kastner
Jennifer F. Wyatt
Isabel Stanley
James Duncan
Frank McSherry
Charles Waugh
Mart
Michael Levin
Rosemary Wells
Joe Dominguez
Vicki Robin
Elizabeth Pope
John Gilstrap
Stephen Horn
Jack Olsen
Joel Porte
William Poundstone
Sara Donati
Laraine T. Zappert
Christopher M. Byron
Christopher Down
Li
Booth Tarkington
Tim Sandlin
Joseph D. Pistone
Jonathan Baird
Carol M. Allen
Tony Strong
Alistair MacLeod
John Colby
Inigo Surguy
Rudiger Voigt
Jeffrey Haas
R. D. Ginn
Rick Fields
Peggy Taylor
Rex Weyler
Rick Ingrasci
David Breashears
Walter Satterthwait
William Mize
C. J. Box
Peter Moore Smith
Denise Mina
Ron Franscell
Amanda Foreman
David Starkey
Elizabeth Jane Howard
Charles Spencer
Earl Spencer
Nancy Mitford
Nancy Singer
Austin S. Camacho
Gregg Hurwitz
Colin Bateman
Gil Brewer
E. V. Cunningham
Gillian Roberts
Edward Lear
Stuart R. Kaplan
Mike Myers
Sarah Lyddon Morrison
Joshua Halberstam
Bruce Porter
Mark Christensen
MATSURI AKINO
Mari Akino
Kanan
Sakurako Gokurakuin
Ken Akamatsu
Yukito Kishiro
Byron Preiss
Masami Tsuda
Rachel Hawthorne
Mark Kalesniko
Reiko Momochi
Tokyopop
Rei Idumi
Tatsuya Hamazaki
Miwa Ueda
Dan Papia
Beverley Birch
Tony Kerins
Christopher Hart
Hinako Ashihara
Tomoko Taniguchi
John Burningham
Barrett
Storytime Collection Childrens
Terry Deary
Barbara Allen
Philip Reeve
Dreamworks
Angela Sommer-Bodenburg
Amelie Glienke
Kjartan Poskitt
Chris Fisher
Phil Roxbee-Cox
Sue Hellard
Alan Gibbons
Apsley Cherry Garrard
Anna Wimschneider
Brigitte Walitzek
John S Mill
Michael Sontheimer
Heinrich Von Kleist
Helmut Sembdner
Phyllis D. James
Marcel Reich-Ranicki
Richard Zoozmann
Irma Kurtz
Craig Smith
Knut Kr�ger
Troy Denning
Philip
Slattery
Joan (editor) Pullman
Joris-Karl Huysmans
Simon Callow
George Chapman
Isabel Alc�ntara
Sandra Egnolff
Catherine Crowe
Gina Wisker
Deborah Grandinetti
David Colbert
Jarrold Publishing
Alexander Trocchi
Judith Herrin
Roger Highfield
Carlo Fruttero
Franco Lucentini
Richard Taylor
W. E. B. Griffin
Rudolf Steiner
D. Osmond
J. Collis
Carlo A. Michelini
Cate Tiernan
Matilde Olivella Castells
Elizabeth Guzm�n
Paloma
Christopher Kendris
And The Language Experts At Berlitz
David A. Van Meter
Kathy Herman
Al Roker
D. J. Donaldson
Michael H. Brown
Sir Doyle
Jeff Coghill
Eugene C. Kennedy
Patricia Sargent
Garson Kanin
Twain
Nathan Pritikin
Al Gore
Lois And Louis Darling
Kay Mills
Susan Sheehan
Edith Deen
Ian St.James
John Buchan
Roz Levine
Enid C. King
Brian Price T
Harper Collins Publishers
R. K. Gordon
Charles S. Carver
Michael F. Scheier
Calvin S. Hall
Vernon J. Nordby
Michael Kanaly
Richard H. Green
Louise Hay
Janet Kagan
Colonel David H. Hackworth
Julie Sherman
Robert Bramson
Michele Hall
Robert Graves
O. Henry
Holly Thompson
Kathleen Givens
Jim Harrison
Aramis Thorn
Nancy Springer
Gilles Perrault
Stephen Knight
Morris L. West
Jean Plaidy
Ethel Barrett
Tracy West
Keith Batcheller
Judith Gould
BH&amp
G Editors
Simone Simmons
Peter J. Heck
Richard Ellmann
T Cooper
Wolfgang Sch�ssel
Ilon Wikland
Sheri McGregor
Jurek Becker
James Cowan
Maisie Mosco
Stan Rapp
Tom Collins
Hal Rosenbluth
David H. Maister
Eric A. Knudsen
A. Grove Day
Robert B. Miller
Stephen E. Heiman
Tad Tuleja
Michael LeBoeuf
Shiva Naipaul
James B. South
William Irwin
Rob Macgregor
Gregory Benford
Elizabeth Castro
Doris Egan
Martha Wells
Pagan Kennedy
Sherwood Smith
Leonard Maltin
Tomie De Paola
Rising Moon Editors
Don Hewitt
Jill Marie Landis
Hampton Howard
Velda Johnston
Howard Cosell
Peter Bonventre
Sol Stein
Regina Kehn
Heike Schwarzbauer
Rick T
Joe Benitez
Marcia Chen
David
Christopher Roden
Michael Hayden
Rachael Leigh Cook
Giovanni Boccaccio
G. H. McWilliam
Emilio Salgari
Alma Maritano
Luigi Ricci
Christian Gauss
Jack Kornfield
Carr Clifton
Patricia Wentworth
Jack Du Brul
Richard Steinberg
Rick Bundschuh
Penny Jordan
Linda Turner
James P. McGettigan
Jan Rogozinski
Mandy Andress
Jon Ronson
Ron Pretty
W.Gordon Smith
Alethea Hayter
Yukio Mishima
Kathleen Sky
Sondra Marshak
Myrna Culbreath
Kij Johnson
Kelly Freas
Tom Kidd
Karen Rispin
Eric W. Weisstein
Albert Ellis
Robert A. Harper
Melvin Powers
Edgar Evans Cayce
Henry Reed
Herbert B. Puryear
Richard I. Abrams
S
L. Perry Wilbur
Webster Kuswa
Jerry O'Brien
Jane Roberts
Donald Thompson
Phil Donahue &amp
Co.
Dr. Gene Brewer
John Schilb
Elizabeth A. Flynn
John Clifford
Jeff Reid
Lawrence M. Krauss
Pierre Gripari
Chris Kitch
Caroline Myss
Pociao
Udo Breger
B. Kliban
Aritha Van Herk
Frances Itani
Karen Dudley
Jamie Bastedo
Alfonso Ortiz
Alfons
John R. Dann
Martin Edic
Modris Eksteins
Linnea Due
Charlene Spretnak
Michel Tremblay
John Van Burek
Bill Glassco
David Fennario
Holley Rubinsky
Barbara Robinson
Robert Hass
Edward Bellamy
Gregory Howard Williams
Elaine Camp
Naomi Horton
Browning
Edith St. George
Gousha
Carol Norris
Dorothy Ann Bernard
Elizabeth August
Tim F. LaHaye
Dorothy Sayer
Terris McMahan Grimes
Katherine Kurtz
Richard Miniter
John Cheever
Catherine Cookson
Pamela Morsi
E. Fuller Torrey
Imraan Coovadia
Paul Preuss
Marlo Thomas
Friends
Richard Lischer
Robert Hellenga
Campbell Soup Company
Nancy Bell
Liz Neporent
Suzanne Schlosberg
Doug Lipman
Jack Prelutsky
Marilyn Hafner
Ed Rose
Harlynne Geisler
Jennifer Justice
Susan Wilson
Valerie Marsh
Patrick K. Luzadder
Margaret Read MacDonald
Paul Aurandt
Pleasant DeSpain
David Heflick
Patrick Fraley
Michael Harrison
Christopher Stuart-Clark
Loung Ung
Nellie Bly
A.J. Jacobs
Thomas Norton
Stephen C. Lundin
Harry Paul
John Christensen
Lynn Abbey
Dave Duncan
Murry
Michael Jensen
Charles Causely
M. E. Bradford
Russell Kirk
Allen Klein
Robert H. Bork
Thomas L. Friedman
Moli�re
Jean Sasson
Andrew Sanders
Patricia Crick
Geoffrey Moore
Mrs. Mary Rowlandson
Mary Rowlandson
Jon Katz
Brigitta Restorff
Effie Leland Wilder
Laurie Allen Klein
Shauna Singh Baldwin
Venerable Henepola Gunaratana
Barbara Quick
Lori Reid
Bee Willey
Irene Radford
Brian Froud
Jessica Macbeth
Naomi Kritzer
Karleen Koen
Ann Chamberlin
Patrick Dunleavy
Randy Moravec
Kate Thompson
Rosalind M. Greenberg
John Nunneley
Arnold Stadler
Angelika Fel A
Joe Harnell
Ira Skutch
T.J. MacGregor
Joanna Campbell
Editor And Introduction Burton Raffel
Ann Bell
Michelle Caruso
Nicholas W. Maier
Rick Ridgway
Michelle Stacey
James Bradley
Kees Van Kooten
Graham Thomas
Kim Antieau
Brian Lumley
Bud MacFarlane Jr.
Ray Shannon
Lee Hoffman
Lyle Brandt
L. A. Banks
Elaine Moore
Dawn Stewardson
Michael Mogadam
Ulrich Bitz
JILL MANSELL
William Jeremiah Coughlin
William Coughlin
D. W. Buffa
D.W. Buffa
Eric Berne
Tananarive Due
Alice Koller
Erin Pizzey
Emma Gold
Lawrence
Sarah Bird
Jacqueline DeMontravel
Deborah Smith
Sandra Chastain
John Glenn
Nick Taylor
Gladys Knight
Fred J.
M.D. Epstein
Elaine Fantle Smimberg
Asha Bandele
Genia Wennerstrom
Robert Frost
David Bradley
Dewitt Jones
Ren�e Zucker
Rumiko Takahashi
Naoko Takeuchi
Chikako Noma
Naako Takeuchi
Sherri Mandell
Michael Pearce
Judith Swaddling
Nancy Kerrigan
Steve Woodward
Andrews McMeel Publishing
Glenn Stout
The #1 Sports Writer
Andrew Donkin
Betty
Salter
Owen (editor) Cuthbert
Gillian Chapman
H. J. Rose
W. H. D. Rouse
Ernest Shackleton
Carl
Hiaasen
Moses Hadas
G. M. A. Grube
S. Peters
Karen Meyer
Spain
J. Robert King
K. B. Bogen
Janny Wurts
C. Dean Andersson
Mitchell Graham
John Helfers
Elaine Cunningham
Keith Robar
Simone Sassen
Berlin
Stan Cutler
Delia Ephron
Will Lawson
James Morgan
Sidney Abbott
Barbara Love
Leah Rabin
Helen Epstein
Victor Klemperer
Stephen Graham Jones
Leila Vennewitz
P.J. Gearing
E.V. Brunson
Thomas Clark
Bruce Woods
Peter Blocksom
Angela Ter
New York Public Library
William Noble
Rick Buda
Jan Harold Brunvand
Nevins
Robert K. Ressler
Margaret Visser
Oswald Wynd
Steven Brust
Cynthia Rutledge
Ellen Bass
Joan Barzilay Freund
Leigh Keno
Leslie Keno
Georges P�rec
Kenneth Uptegrove
American College Of Sports Medicine
ACSM
David Watmough
David Magarshack
David Magarsha
Jane Hitchcock
George Konrad
Phil Farrand
Joe
Daniel B. Baker
Sean O'Brien Strub
Bill Henning
Bi
Isabel Anders
Sherryl Jordan
Kelvin Christopher James
Ann Granger
Axel Merz
Michael Stewart
R. Karl Largent
Muriel Gray
Helias
Salvatore R.a.
Denise Bombardier
Dani Sinclair
Suzanne Ellison
Robert H. Eisenman
Katherine Anne Porter
Harriet Beecher Stowe
Ruth Hayes
Wolf Von Lojewski
William Norris
Hansj�rg Martin
Margaret Millar
Bill Hybels
Lynne Hybels
Luigi Pirandello
Sophocles
Aristophanes
India Edghill
Bernhard Straub
Eric Ambler
Bruce McCall
Hanns Peter Karr
Walter Wehner
Jane Simmons
J�rgen Ebertowski
No Author
Wolfram Fleischhauer
Denis Pethebridge
Dewey Gram
Earma Brown
Alzir He
Richard D. Kellough
Noreen G. Kellough
Jane E. Aaron
Totline
Susan B. Neuman
Carol Copple
Sue Bredekamp
Nationa
Lois McCue
Jula Libonn
Shirley Raines
Robert J. Canady
Judith Schickendanz
Linda Acredolo
Susan Goodwyn
Daniel Avram Richman
L. Curtis
Rosalind Charlesworth
Helen Bee
Helen Harrison
Ann Kositsky
Joan Beck
Dr. Robert Bucknam
Barbara Rowley
B. Blake Levitt
Benjamin Spock
Pierre Le Rouzic
Dell Publishing
Julie Hagstrom+joan Morri
Sandi Kahn Shelton
Princeton Language Institute
Jay Sylvan Cohen
Robert Berkow
Edie Jarolim
Moira Duggan
Jeff Perk
Earl Steinbicker
Tracey Menges
Stephen Colwell
Ann Shulman
Sheryl Lindsell-Roberts
William H. Hylton
David Lambert
Peter Ward
Christopher McGowan
Tom Brown
Phillip E. Pack
Jerry Bobrow
Herbert S. Zim
Chandler S. Robbins
Bertel Bruun
Ar
Jonathan A. Michaels
William Pollack
Cynthia Griffin Wolff
Michael Murphy
Akif Pirincci
A. Mousnier-Lompr�
Howard P. Lovecraft
H. P. (Howard Philips) Lovecraft
Jacques Papy
Simone Lamblin
Yves Ri
Eric-Emmanuel Schmitt
Jim Hougan
Werner Sikorski
Rainer Laabs
Rudy Rucker
Antoine Volodine
Raphael Aloysius Lafferty
Emmanuel Jouanne
Jacques Barb�ri
Somtow Sucharitkul
Elisabeth Vonarburg
Jean-Pierre Harrison
Arnauld Pontier
Monika Blaich
James Houston
Dutch Sheets
J. T. L James
Larry K. Brendtro
Martin Brokenleg
Steve Van Bocke
Greg Giangrande
Stephanie Clement
Richard Morris
John Muir
Anne Delbee
Helmut Kossodo
ARNOLD P. ABBOTT
Malcolm Lowry
Marcus J. Borg
Ian Carr
Digby Fairweather
Brian Priestly
Bryan Appleyard
Margaret MacMillan
Richard Holbrooke
Casey Hampton
Sarah Turnbull
Charles Todd
Echo Heron
Donea L. Shane
Lisa Goldstein
John Edgar Wideman
P. W. Storm
Cynthia D. Grant
Ronald Tierney
James W. Huston
Ward Carroll
Richard Herman
Brian Haig
Michael Ridpath
Avodah K. Offit
Allan Topol
Don Passman
Susan Feldman
John Krist
Jon Stewart
James D. Watson
Edward De Bono
P S Rushforth
Carole Klein
Brian Lee
Lisa Alther
W. Somerset  Maugham
Max Beerbohm
Erin Hart
Susan Hillmore
Gemma Grott
Robin Pilcher
Kimberly Willis Holt
David Rakoff
Tony Vigorito
William Harvey
N. J. Dawood
Jonathon Lazear
Wendy Lazear
David Borgenicht
Sarah Jordan
Afi-Odelia E. Scruggs
Mary Ann McDonald
Amy Sylvester Katoh
Shin Kimura
Yutaka Satoh
ALEJANDRO DUMAS
GUILLERMO PIEDRAHITA
N.C. Wyeth 
Ric Edelman
James M. McPherson
Richard M. Ketchum
Allan Haley
Jeff Carlson
Glenn Fleishman
Toby Malina
Lynn Haller
Diana Martin
John Tollett
Diane Martin
Mitzi Szereto
Michael Farquhar
Roni Jay
Daniella Chace
Maureen B. Keane
David Smith
Kevin Neary
Carole Bloom
Marion Meade
Michelle Magorian
Kate Grenville
Henri Troyat
Robin
Van Der Vat
Dan Gardiner
Gary Jennings
Howard Shaw
C.J. McKnight
Ross Petras
Kathryn Petras
Bill Shoemaker
Leo Giroux Jr.
Dik Browne
Nancy K. Robinson
Monique Bonnet
Jeffrey Marks
Jeremy Leven
Arthur N Schwartz
Francis Steegmuller
Joan Stoliar
Patricia Veryan
Tanya Anne Crosby
George Alec Effinger
Joy Grdnic
Celeste De Blasis
Elliot S. Maggin
Helen Hooven Santmyer
Stephen Greenleaf
David Ackroyd
David Robbins
Mark Yarnell
Rene Reid Yarnell
Richard Poe
John Milton Fogg
Christopher Maurer
Richard Leakey
Jeffrey Meyers
Steven Saylor
Riane Eisler
Kim Carlson
Carrie Floyd
Beppe Severgnini
Giles Watson
Christopher G. Moore
Peter Friedrich
Arthur L. Burton III (Alb3)
Lauren Ruth Wiener
Wiener
Christin Lore Weber
Regena Thomashauer
Stephanie James
Grace Livingston Hill Library
Isabella MacDonald A
N. Curtis
Bradley Trevor Greive
Patricia A Mckillip
Perrault
Virginie Despentes
Bernard Gagnebin
Marcel Raym
Mike Resnick
Pierre-Paul Durastanti
Brite
Michael Resnick
William Desmond
Paul Klee
Thierry Soufflard
Robert Musil
Philippe Jaccottet
Lester Bangs
John Robert Colombo
April Wilson
Dana Reed
David Wiesner
Lee Gruenfeld
Conrad Richter
James Gurney
Lisa Potts
Kate Christensen
Lewis Burke Frumkes
Paula Begoun
Deborah Eisenberg
Ruth Moose
Mary Tannen
Casey Makela
Kathy Lamancusa
David Lavender
David James Duncan
Patricia Arrigoni
Nicholas Negroponte
Roger Fisher
William L. Ury
Richard P. Feynman
A. J McClane
Richard Berman
Ella E. Clark
Ernest H Rosenbaum
John Donoghue
James Swain
Erle Stanley Gardner
Ben Rice
Lucretia Walsh Grindle
Andrea Juno
V. Vale
Ralph Leighton
Edward Hutchings
John Logue
Klaus Lambrecht
Dinka Mrkowatschki
Leonard Cohen
Vaclav Havel
Werner Gross
Rosa Luxemburg
Annelies Laschitza
Georg Adler
Gerhard Prause
Tratschke
Robert Nozick
Dan Cavicchio
M. Therese Young
Miranda Gray
Ken Carey
Judith Stamper
Genevi Stamper
David Daniel
Reginald Hill
Hilary Walden
William F.
Jr. Buckley
Alexandria Ripley
Rebecca Harding Davis
Tillie Olsen
Peggy Rambach
Le Carre
R. David Thomas
Ron Beyma
Walter Anderson
Kate Saunders
Mark Mittelberg
Margaret M. Kimmel
Mark Juergensmeyer
David Wong Louie
John Ashbery
James Schuyler
Bob Schieffer
Roy Parvin
Gloria Gaither
Shirley Dobson
Russ Flint
Martha Saxton
Hysteria Magazine
